id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,stamp,agreement,claster
94,2月度木曽町ワークショップの概要について意見ください！,"こんにちは。はまーです。皆さんにご相談、というかご意見など頂けるとありがたいと思い書き込みました。
2月度に実施を予定している木曽町ワークショップに関して、皆さんの知見など頂けるとありがたいです！

端的にいうと、今回は（も）企業研修の一環で、参加者には、木曽町での様々な繋がり・対話を通して自己を振り返り、これから自分がどのようなことを意図して将来を歩んでいきたいか（どう働きたいか、どんな人生を送りたいか）を見出してもらうことを意図しています。
今回は、2泊3日の期間で、参加者はインテから10名、社外から10名（皆さんにも参加頂けると嬉しいです！）、そして町側から10～20名程度の参加をイメージしています。

皆さんへの相談は、3日間のプログラム設計について、何かご意見あれば頂ければと思っています！

以下ご確認頂きまして、何かあればどしどしご意見お願いします！（僕だけの発想だとなかなか膨らみが足りず、僕のお困りごとを皆さんに助けて頂けると嬉しいです！）

＜概要＞
■コンセプト：「地域活性×リーダーシップ開発」
地域の様々な人や自然と繋がりを持ち、自分にとっての「働く（働く上で大切にしたいこと）」や「生きる（生きる上で大切にしたいこと）」を探究し、創りたい今、未来を考える -ツナガリズム in 木曽町-

■目的
【地域と繋がる】 町民の方々の日々のお困りごとを解決することでお役に立ち、そこで築いた繋がりから交流を増やしていく。
【自分と繋がる】
①対話を通して：「地域で生活すること」などについて地域の方たちと対話する過程で、今後自分が地域、また、その対比としての都会でどのように生きていきたいのかに気づく。
②体験を通して：普段触れることのない地域での体験を通じて、「日々の自分の在り方」を振り返り、今後の自分の生き方に気づく。
【未来と繋がる】多様な人が集い、皆で目指したい未来ついて対話し考えることを通して、思い描く未来を実現するために、大切にしたいことを明確にし、それを踏まえた次の一歩を見出すことで未来創りのスタートを切る。

■プログラムイメージ：
（1日目）
・デイ・コンセプト：「馴染む」（参加者同士・地域の方々との関係性構築（木曽の人と繋がる、木曽を知る））
・プログラムの流れ（イメージ）
　①参加者同士の関係性構築ワークショップ（お互いを知ろう！ワーク的なもの）
　②地域を知ろうワークショップ
　③1日目リフレクション（リフレクション観点：木曽に対する気持ち、プログラムに対する気持ち、2日目に向けての気持ち）
　④懇親会で繋がリズム（地域の方も含めて飲みながら繋がる）
（2日目）
・デイ・コンセプト：「感じる、動き回る」（木曽町への貢献（木曽でお役立ち、木曽のリアルを知る、深く繋がる））
・プログラムの流れ（イメージ）　
　①木曽町クエスト in 木曽福島（自分たちでお手伝いワーク的なもの）
　※基本的には自由行動
　②厚めの2日目リフレクション
　（リフレクション観点：自分にとって働くとは？人に貢献することとは？地域に貢献することとは？それと自分の仕事の繋がりは？
　　※今の自分の働き方を形にする、在りたい自分の働き方を形にするワークなどどうか？等）
（3日目）
・デイ・コンセプト：「紡ぐ、見出す」（繋がりから見える未来創作とセルフリーダーシップ（関係の中で未来を紡ぐ、対話で紡ぐ、自分のセルフリーダーシップ、次の一歩））
・プログラムの流れ（イメージ）
　①対話ワークショップ　未来創り（ペア対話・グループ対話共有・未来創作ワーク・全体発表）
　（テーマ例：豊かな未来、貢献し合う未来、理想の働き方の未来、子どもの頃描いていた最高の自分像からの未来）
　②対話リフレクション（リフレクション観点：目指したい未来の実現に何が大切か）
　③全体リフレクション（ペアウォークリフレクション・次の一歩宣言シート・一歩宣言発表・ポジティブイット＋写真撮影）

長々とすみません。。どうぞお力添えよろしくお願いします！",,0,17,false,false,false,2016-01-14 17:38:24,2016-01-14 19:20:10,15,,,,,,
111,,"みなさん、ありがとうございます！拝見しましたが、どれもかっこいいですね～っ！
参考にさせて頂きます！

あと、誰に向けての案内か、お誘いかなど、誰に何を訴求するかが当たり前ですが大切だなと改めて感じました。",110,50,17,false,false,false,2016-01-21 11:38:20,2016-01-21 11:38:20,15,,,,false,,
109,,"かっこいい。

https://workingfolder.fujixerox.com/web/1051203/#folder-1266
昔遠野で使っていたものも参考まで。なんか、なつかしい。",108,50,8,false,false,false,2016-01-21 09:24:37,2016-01-21 09:26:58,15,,,,false,,
108,,"というわけで、社内対話会のインビテーションをワーキングフォルダーにアップしました。
社内資料なのでメンバー内共有でお願いしまっす！
https://workingfolder.fujixerox.com/web/1051203/#folder-1266",99,50,13,false,false,false,2016-01-20 17:45:07,2016-01-21 09:24:37,15,,,,false,,
99,,"「自分を預けられる」ためのインビテーションをどうするかですか。その観点はなかったですね。
確かに、MZさんではどのようにやっていたか聞いてみたいです！",98,50,17,false,false,false,2016-01-15 10:40:15,2016-01-20 17:45:07,15,,,,false,,
106,,"改善検討してみます。とりあえず、WorkingFolderでお願いします。
https://workingfolder.fujixerox.com/web/1051203/#folder-832
ここにフォルダを作って、そのリンクをコメントに貼り付けてください！
それでどうでしょう？？",105,50,8,false,false,false,2016-01-19 09:52:36,2016-01-19 10:39:57,15,,,,false,,
107,,調整ありがとうございます！合わせ技一本ですね。ぼくはNo Objectionです。,106,50,17,false,false,false,2016-01-19 10:39:57,2016-01-19 10:39:57,15,,,,false,,
105,,"ばうあーさん、ありがとうございます！参考になります！
そして、資料拝見したい。。みのっちさん、PLEASE HELP ME～",104,50,17,false,false,false,2016-01-18 17:35:09,2016-01-19 09:52:36,15,,,,false,,
104,,"参考にと、過去の社内対話会のインビテーションを添付したかったのですが、PDF添付できません・・・
＞みのっち　SOS！",99,50,13,false,false,false,2016-01-18 17:20:15,2016-01-18 17:35:09,15,,,,false,,
103,,"インビテーションは企画メンバーで考えた対話会のビジョンと最高の5W1H、
過去の対話会参加者の感想を参考にしました。

その他、細かな工夫としては
・表面は会場の明るい写真を使ってワクワク感を高める
・過去の対話会のイキイキとした写真を載せる
・みんなが知っていそうな人（社長など）が過去に参加している場合は
　その人の写真を載せて安心してもらう
・企画メンバーの名前は、あえて部署や肩書きを明記せず、五十音順で並べることで
　通常の研修とは違う感を出す
などです。

とは言うものの、業務時間中の開催で自由参加だったため
このぼんやりとしたインビテーションでは参加の決心がしにくかったようです。
「自己啓発ではなく、ミズノのため感」をもう少し出してもよかったのかなと思っています。",99,50,13,false,false,false,2016-01-18 17:17:20,2016-01-18 17:17:20,15,,,,false,,
