id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster
231,,"私も意識せずそうしてしまうことがありますね。 
例えば，訪れたことのない店に行く場合などはついmapに頼ってしまって 
スマートフォンをずっと見てしまっているという状態になりがちです。 
実際にこれでひやっとすることが何度かありました。",130,2015-11-24 16:07:05,2
232,,"私も意識せずそうしてしまうことがありますね。 
例えば，訪れたことのない店に行く場合などはついmapに頼ってしまって 
スマートフォンをずっと見てしまっているという状態になりがちです。 
実際にこれでひやっとすることが何度かありました。",231,2015-11-24 16:07:56,2
130,,"最近話題になっているところだと、歩きスマホが挙げられるのではないでしょうか。
スマホに夢中になりすぎて、移動時間すら惜しんでゲームをしている人をよく見かけます。
スマホのコンテンツが進化するのは基本的にはいいことですが、こういった弊害もありますね。",67,2015-06-15 22:33:26,1
51,スマホアプリ,"スマホを使う上で切り離すことができないのがアプリですよね。
スマホが普及するにつれアプリの種類も増え、仕事で重宝するスケジュール管理、日常生活で使う連絡手段、音楽やゲームといった娯楽まで、多様な目的を達成させてくれる様々なアプリが作られてきました。
このように日々進化するアプリがあるからこそ、スマホ普及が促進されたのかもしれません。
そんなアプリについて少し話し合いましょう。

皆さんが日々使われているアプリはどんなものですか？
最近気に入っているアプリ、ちまたで人気のアプリ、隠れた魅力のあるアプリを紹介してください！

私は最近スマートウォッチと連携して健康管理を支援してくれる、ヘルスケアアプリがお気に入りです。
毎日アプリを開くたびに昨日どれだけ運動したかがわかるので、今日も運動しよう！という気にさせてくれます。",,2015-06-15 12:08:02,3
230,,スレッドが重複しているので、以降はこっちのスレッドで議論を進めましょう！,51,2015-11-24 11:28:44,2
37,,"自分も大学入学時にガラケーからスマホに変えました。なので3年くらい前です。
当時はガラケーに機種変更する考えは全く無かったですね。スマホとガラケーを比べたら、当時のガラケーだと大抵の機種で画面操作がキー入力だけで使い勝手が悪そうだし、ウェブブラウザも携帯専用だったりして見にくいし、何よりも元々入っている機能しか使えず、自分でアプリを追加して欲しい機能を増やしていく、なんていうスマホの使い方は全くガラケーでは出来そうもなかったですよね。そんな使い手の自由の効かない機種を使いつづける考えは眼中には無く、大学入学と共に真っ先にスマホに機種変更しました。",17,2015-06-15 11:41:31,3
229,,"割と積極的な理由でスマホに変えたんですね。 
確かにガラケーの時代では考えられない使い方です。
",37,2015-11-24 11:24:21,2
30,,"私がスマホを使い始めたのは，3年前位だったかと思います．
理由としては周りが使っていたのが大きいですね．
連絡手段がLINEなどのコミュニケーションツールに移行しつつあったことも
その理由の一つかもしれません。",17,2015-06-15 11:34:15,5
228,,"LINEの普及は確かに大きいですね。 
ガラケーだとLINEが使えないらしいですし。",30,2015-11-24 11:22:59,2
11,スマホの便利な所,"私としては、やはりPCとの親和性に便利さを感じます。
メールやネットのブックマークは勿論、パスワードなどまで共有できて、とても良いです。
スマホの便利な所として、どんな機能がありますか？
みなさんの意見を聞かせてください。",,2015-06-15 10:02:53,39
227,,"iPhoneを利用しています。 
iTunesなどのソフトと連携して写真や音楽などを簡単にPCに取り込めるところが便利だと思います。",11,2015-11-24 11:16:18,2
57,,"一人暮らしをしているのでよく家計簿アプリを使ってます．
私が使っているアプリはスマホの画面から「何に，いくら使った」かを手入力しなきゃいけないので，ちょっと面倒くさいです．レシートの写真を撮るだけで自動的に家計簿を付けてくれるものもあるようですが，なんか上手くいかないので結局手入力するタイプのアプリを使ってます．",40,2015-06-15 12:37:47,9
226,,"私も家計簿アプリは使っています。 
画像認識の技術はかなり発展していますが、やはり、いまいち上手くいかない時もありますよね。 
レシートの文字を自動で認識してくれて、あとからそれを文字として検索できる機能は、かなり便利だと思いました。
",57,2015-11-24 10:53:56,2
25,スマホとは,"私はインターネットを頻繁に使う方ではありません。個人的な感覚としては、スマホもガラケーも同じ「携帯電話」です。
スマホとガラケーの違いとは何なのでしょうか？ガラケーとスマホが区別される理由や、ガラケーとスマホを分けているものはどのような部分だと思いますか？
ガラケーに足りなかったもの、また、スマホにしかない利点があれば、それがスマホの普及に大きな影響を与えたと考えることができると思います。",,2015-06-15 11:25:49,14
