id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,stamp,agreement,claster
53,明日の集まりについて,"年末年始と参加できておらずすみませんでした。。

明日の集まりについて、場所と時間イメージを共有させて頂きます！

・日時：1月5日（火）　12:00～18:00で場所を押さえています。（所要時間は左記時間のうち数時間程度でしょうか？）
・場所：インテリジェンス　豊洲オフィス（東京都江東区豊洲3-2-20 豊洲フロント7F ）
※地図：http://www.inte.co.jp/corporate/map/067.html

場所は人数に対しては広めのセミナールーム（許容人数30名程度）です。
セミナールームのすぐ隣にクリエイティブスペースという多目的スペースがあり、
そこに少しオシャレめの机、イスが並び社員が自由にミーティングしたり昼食を取ったりしています。
なので、比較的自由な空間に囲まれての場ですかね。",,0,17,false,false,false,2016-01-04 09:10:10,2016-01-04 14:16:43,15,,,,,,
85,,"明日のランチ会場の予約ですが、何度か電話したのですが繋がらずでして。。（本日お休み？！）
明日の確認が取れないので、11時にフリーの形で来店するようお願いします。
※引き続き、電話はかけてみます。",83,50,17,false,false,false,2016-01-04 17:41:12,2016-01-04 17:41:12,15,,,,false,,
82,,"あと、場作り必須アイテムお菓子を忘れていました。
各地の名産を各社持ち寄ることでしょうどうでしょう。",53,50,8,false,false,false,2016-01-04 14:16:43,2016-01-04 17:37:24,15,,,,false,,
84,,お土産あるといいですね、オッケーです！,82,50,13,false,false,false,2016-01-04 17:37:24,2016-01-04 17:37:24,15,,,,false,,
78,,"では、集合は11時、Trattoria BOSSOということで決定！
予約はいるのでしょうか？",77,50,8,false,false,false,2016-01-04 13:22:18,2016-01-04 14:31:20,15,,,,false,,
83,,11時であれば、予約の必要はないかと思いますが、、、一応確認しておきます！,78,50,17,false,false,false,2016-01-04 14:31:20,2016-01-04 17:41:12,15,,,,false,,
77,,賛成！,75,50,8,false,false,false,2016-01-04 13:19:49,2016-01-04 13:22:18,15,,,,false,,
75,,"賛成です！みのっちさん、いかがですか？？
",74,50,17,false,false,false,2016-01-04 12:33:02,2016-01-04 13:19:49,15,,,,false,,
74,,"ご紹介いただいた「Trattoria BOSSO」は11:00からランチが行けるようなので、早めですが
11:00〜ランチ
12:00〜対話開始
というのはいかがでしょうか？",53,50,13,false,false,false,2016-01-04 12:11:36,2016-01-04 12:33:02,15,,,,false,,
72,,"ミズノは
10:16 品川着
10:40 豊洲着
の予定です！",53,50,13,false,false,false,2016-01-04 12:00:28,2016-01-04 12:00:28,15,,,,false,,
68,,"そうですか。
では、そのような気持ちでおります。
せっかく、1日あるので、時間早めます？",67,50,8,false,false,false,2016-01-04 11:45:58,2016-01-04 11:49:11,15,,,,false,,
70,,新幹線は10:40着で大丈夫でしょうか？？,68,50,8,false,false,false,2016-01-04 11:49:11,2016-01-04 11:49:11,15,,,,false,,
67,,"インテリジェンスさん、会場の確保、備品の準備等ありがとうございます。豊洲のオフィスですね。承知しました。
ミズノの2人は日帰りです。ですので私は18:00で失礼しようかと思っています。おそらくたけぷえもそのくらいではないかと思います。",53,50,13,false,false,false,2016-01-04 11:41:55,2016-01-04 11:45:58,15,,,,false,,
65,,"明日の集合は、
豊洲フロント（オフィスの入っているビル）1階に良さそうなお店
11:30
でよろしいでしょうか？",60,50,8,false,false,false,2016-01-04 11:34:35,2016-01-04 11:39:50,15,,,,false,,
66,,インテリジェンスは大丈夫です！,65,50,17,false,false,false,2016-01-04 11:39:50,2016-01-04 11:39:50,15,,,,false,,
60,,"豊洲は未開の地ではありますが・・・
ランチは、豊洲フロント（オフィスの入っているビル）1階に良さそうなお店があるのでそちらで。
夜の会に関しては、MZ様のご予定（日帰りかどうか）によって場所決めたいと思いますがいかがでしょうか？？

ランチ情報：Trattoria BOSSO　豊洲　～トラットリアボッソ～
※サイト：http://tabelog.com/tokyo/A1313/A131307/13118075/",58,50,17,false,false,false,2016-01-04 10:43:43,2016-01-04 11:34:35,15,,,,false,,
59,,"Inte、時間承知しました！
ちなみにほしくん（＝私のMGR）が17時頃までしかいられず。。
その点だけご容赦くださいませ。",54,50,17,false,false,false,2016-01-04 10:12:34,2016-01-04 10:49:36,15,,,,false,,
62,,"了解です。
ほしくんがいる状態で、一段落したいところですね。",59,50,8,false,false,false,2016-01-04 10:49:36,2016-01-04 10:49:36,15,,,,false,,
58,,ランチと夜の会の場を決めてしまいたいのですが、いい場所あります？＞はまー,57,50,8,false,false,false,2016-01-04 10:11:19,2016-01-04 10:43:43,15,,,,false,,
54,,"大阪組は早くて10:40着ですので、
豊洲駅周辺で11:30からランチ兼自己紹介。
12:30から対話開始
19:00から夜の対話会
とかどうですか？

MZの皆さんは宿泊ですか？",53,50,8,false,false,false,2016-01-04 10:00:15,2016-01-04 10:12:34,15,,,,false,,
57,,はまー、ありがとうございます。,53,50,8,false,false,false,2016-01-04 10:10:12,2016-01-04 10:11:19,15,,,,false,,
55,,"明日のプログラムを決めることができていませんが。
以下備品の確保できますか？＞はまー
・ポストイット
・ペン
・模造紙
・プロジェクター",53,50,8,false,false,false,2016-01-04 10:04:57,2016-01-04 10:07:00,15,,,,false,,
56,,"＞みのっちさん

はい、すべて準備できます！準備しておきますね。",55,50,17,false,false,false,2016-01-04 10:07:00,2016-01-04 10:07:00,15,,,,false,,
