id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
17,スマホはいつから使い始めましたか？,"みなさんはいつからスマホを使い始めましたか？
もし使っていない方がいたらいつから使い始めたいか、でも構いません。
スマホが普及した理由は時期に関係あるとおもいます。
なのでスマホを使い始めた時期をみなさん書いてみましょう。
ガラケーなどから変更した理由もあるとなおいいでしょう。

ちなみに私は一昨年から使い始めました！
今まで携帯を持っていなかったのですが、
一人暮らしに伴って親との連絡手段のために購入しました。

それではみなさんの意見を聞かせてください！

",,0,6,false,false,false,2015-06-15 10:45:59,2015-11-30 14:06:50,3,,,,false,2,
37,,"自分も大学入学時にガラケーからスマホに変えました。なので3年くらい前です。
当時はガラケーに機種変更する考えは全く無かったですね。スマホとガラケーを比べたら、当時のガラケーだと大抵の機種で画面操作がキー入力だけで使い勝手が悪そうだし、ウェブブラウザも携帯専用だったりして見にくいし、何よりも元々入っている機能しか使えず、自分でアプリを追加して欲しい機能を増やしていく、なんていうスマホの使い方は全くガラケーでは出来そうもなかったですよね。そんな使い手の自由の効かない機種を使いつづける考えは眼中には無く、大学入学と共に真っ先にスマホに機種変更しました。",17,57,3,false,false,false,2015-06-15 11:41:31,2015-11-24 11:24:21,3,,,,false,,
229,,"割と積極的な理由でスマホに変えたんですね。 
確かにガラケーの時代では考えられない使い方です。
",37,53,2,false,false,false,2015-11-24 11:24:21,2015-11-24 11:24:21,3,,,,,,
30,,"私がスマホを使い始めたのは，3年前位だったかと思います．
理由としては周りが使っていたのが大きいですね．
連絡手段がLINEなどのコミュニケーションツールに移行しつつあったことも
その理由の一つかもしれません。",17,51,5,false,false,false,2015-06-15 11:34:15,2015-11-24 11:22:59,3,,,,false,,
228,,"LINEの普及は確かに大きいですね。 
ガラケーだとLINEが使えないらしいですし。",30,50,2,false,false,false,2015-11-24 11:22:59,2015-11-24 11:22:59,3,,,,,,
20,,"私は3年ほど前からiPhoneを使っています。以前はガラケーを使っていました。
スマートフォンにした理由は、携帯会社からガラケーがほとんど発売されていなかったことや、連絡手段としてLINEが普及してきていたからです。
私自身はスマートフォンを使いたかったためガラケーから変えたのではなく、スマートフォンにする必要性を感じたため変えました。
スマートフォンの普及には、携帯会社の売り出し方にもあると思います。",17,54,14,false,false,false,2015-06-15 11:03:25,2015-11-18 14:28:49,3,,,,false,,
21,,"iPhone4から使っているので、４年前くらいでしょうか。
昔はアプリが少なかったですが、ここ最近はかなり増えた気がします。
こんな機能欲しいなーと思って探すと、それを実現するアプリが見つかるケースがほとんど。",17,54,1,false,false,false,2015-06-15 11:04:20,2015-11-18 14:28:49,3,,,,false,,
22,,"俺がスマートフォンに変えたのは大学生に入学した年だったかな
もともと二つ折りの携帯で満足していたけど，流行に乗ったかんじ
俺が変えたときには，周りのみんなも既にスマートフォン使ってた時期だし

携帯はあんまり使ってない方だけど，いつまでも古い機種使ってると周囲から浮くと思う",17,100,4,false,false,false,2015-06-15 11:10:34,2015-11-18 14:28:49,3,,,,false,,
24,,"みんな利用している手段だから、という理由では私もそうかもしれません。
私の場合ガラケーを購入しても良かったわけですから、スマホにした理由は必要性を感じたということになりますね！",20,52,6,false,false,false,2015-06-15 11:23:25,2015-11-18 14:28:49,3,,,,false,,
26,,"私もガラケーからスマホに変えたのは大学入学時でした．なので大体３年前です．
私自身はそんなに携帯を頻繁に使わないのでガラケーのままでも良かったんだけど，一人だけガラケーなのもなーと思って変えることにしました．",17,41,9,false,false,false,2015-06-15 11:26:03,2015-11-18 14:28:49,3,,,,false,,
28,,"私の家族はそれよりも前からスマホを使っていて
私が一昨年なので2年前、
兄弟姉妹は私よりも2年早いので4年前、
父親は私と同じく2年前です。
やはりこのくらいの時期に買い替えや購入をしてる人が多いのですかね！",17,51,6,false,false,false,2015-06-15 11:28:46,2015-11-18 14:28:49,3,,,,false,,
29,,"スマホの使いたいからスマホにした、というよりかは、
まわりがスマホを使い始めたから・・・という方が多いですね。",17,0,1,true,false,false,2015-06-15 11:33:51,2015-11-18 14:28:49,3,,,,false,,
36,,"LINEの普及は確かに大きいですね。
ガラケーだとLINEが使えないらしいですし。",30,50,1,false,false,false,2015-06-15 11:39:26,2015-11-18 14:28:48,3,,,,false,,
48,,"割と積極的な理由でスマホに変えたんですね。
確かにガラケーの時代では考えられない使い方です。",37,53,1,false,false,false,2015-06-15 12:06:02,2015-11-18 14:28:48,3,,,,false,,
61,,"私がガラケからスマホに変えたのは３年前です。
なぜなら、大学の電子掲示板を手元の端末で確認できることに魅力を感じたからです。",17,48,10,false,false,false,2015-06-15 13:16:10,2015-11-18 14:28:48,3,,,,false,,
62,,"確かに、昔は大学のPCコーナーかキオスク端末に行くしか手段がなかったですね。
小規模なコミュニティに合わせた専用のツールが使える、という点においても、スマホは便利な気がします。",61,56,1,false,false,false,2015-06-15 13:19:31,2015-11-18 14:28:48,3,,,,false,,
