1,101,1,民間との接触＝悪　という役所に流れる風を変えてほしい。民間からの壁も感じます。どうせお役所仕事でしょみたいな。温度差が無くせるといいのに。
2,104,1,お互いの目線を認識しあうことが必要ですが、対等な関係（良好な関係）で進めるためのコツがあれば教えてください。お互いをリスペクトできる関係。
3,106,5,"これからの駅周辺施設はどのような施設を誘致することが駅周辺の活性化につながるのでしょうか。珍しい施設があればお教え願います。どう活性化したいのか、そこからスタートでしょう。栄だけでなく自分たちのまちにもお金を落としてもらいたい。人が集まる駅前で足を止めてもらいたいです。壇上でもお話させていただいたのですが、営業が得意なところで勝負しないと施設開発は作るだけだと厳しい時代ではあります。幸田駅前がおもしろいですよ。
その駅の利用客にどんな特徴があって
どんな潜在的需要があるのか？
そして、店舗コンセプトを決めてから身の丈に合った開発をしています。小牧駅前の図書館建設に注目しています。"
4,107,1,民間と行政の違い。一番違うところはどこなのでしょうか。民間のほうが給料がいいんじゃないかな
5,109,2,進めるには、まずは自分の堅い考え方から変えなければいけないが、それが一番難しいですね・・・自治体には４年に一度選挙もあるしね。とりあえず小さなことから
6,111,3,"お二人のまちづくりに取り組むことになったきっかけ、活動する情熱の元は何でしょうか？
熱い思いがサブ会場にも伝わっています。熱いですね～木下さん、もともと熱かったんですね！？　ちょっとぐらい異端なぐらいがキーですかね？！（笑）"
7,120,4,道路拡幅後の商店街について、失敗例しか見ていないという件ですが、駅前ですでにそれに近い状況があります。。事業前から商店の数は減ってしまっている状況ですが、これから賑わいとして成功例に導くためのアドバイスがあれば教えてください。無理して変な店を建てるより、駅直近の駐輪場が喜ばれるかもしれんぞ基本的に地主がまちづくりの主体なので、その商店街の地主さんたちがどのように考えているかですよね。そこが積極的でなければ、世代交代を待つなど地主の変化を考えたほうがよいかなと思います。本来は公的資金を入れて拡幅をするわけなので、その際に地主に利活用に関する義務、業態変換をするなどの商業政策と合流した展開ができるといいのですが、なかなかそうならないので、拡幅しておわってしまうんですよね。名古屋大曽根のOZモール？駅前が暗くて不審者も出てなかなか近づけません。あっても飲み屋ばかりでからまれるし。女性や学生が少し遅くなっても安心な駅前って大事だと思います。
8,121,2,まちづくりは家庭壊し(~_~;)それ、豊川市職員？私には、出会いの場です。
9,127,0,行政が賑わいを取り戻してくれる、何とかしてくれるという発想の商店主がそこそこいます。そのような発想の方々へはどのように対応されていますか？
10,141,5,"老若男女が集うまち。まちづくりのターゲットは女性、ファミリー、高齢者など絞るべきなのでしょうか？元気な高齢者、これが一番。医療費がかからず、金を持っている。万人受けするまちは夢物語なのでしょうか…極端っておもしろい。
ものすごく狭い世界に絞った取り組みもお
もしろいかも。広域からの集客を生む。ターゲットを絞らないとどうそこに効果的にアプローチするかも決まらないので、絞りこまないとだめですよね。僕は絶対に絞ります。漠然と絞り込む、というよりは、木下さんから紹介のあったオガールのように、自分が得意な分野などから、バレーという絞り込みのように、具体的な取り組みを進めていくうえでの、絞り込みは大切だと思います。"
